timestamp,strategy,account,action,side,contracts,signal_price,fill_price,slippage_pts,sl_price,tp_price,exit_reason,exit_price,pnl_per_contract,pnl_total,bars_held,daily_pnl,monthly_pnl
2018-01-02 16:00:00,ENSEMBLE,BACKTEST,Entry,Buy,1,6520.75,6520.50,0.25,6505.50,6620.50,,,,,,,
2018-01-02 16:45:00,ENSEMBLE,BACKTEST,Exit,Buy,1,6520.75,6520.50,0.25,6505.50,6620.50,EOD,6515.25,-10.50,-10.50,0,-10.50,-10.50
2018-01-03 09:45:00,ENSEMBLE,BACKTEST,Entry,Buy,1,6546.00,6546.25,0.25,6531.25,6646.25,,,,,,,
2018-01-03 10:30:00,ENSEMBLE,BACKTEST,Exit,Buy,1,6546.00,6546.25,0.25,6531.25,6646.25,MaxHold,6572.75,53.00,53.00,0,53.00,42.50
2018-01-03 10:45:00,ENSEMBLE,BACKTEST,Entry,Buy,1,6572.75,6573.00,0.25,6558.00,6673.00,,,,,,,
2018-01-03 10:45:00,ENSEMBLE,BACKTEST,Exit,Buy,1,6572.75,6573.00,0.25,6558.00,6673.00,MaxHold,6570.25,-5.50,-5.50,0,47.50,37.00
2018-01-03 14:15:00,ENSEMBLE,BACKTEST,Entry,Buy,1,6579.00,6578.75,0.25,6563.75,6678.75,,,,,,,
2018-01-03 14:15:00,ENSEMBLE,BACKTEST,Exit,Buy,1,6579.00,6578.75,0.25,6563.75,6678.75,MaxHold,6583.50,9.50,9.50,0,57.00,46.50
2018-01-04 10:00:00,ENSEMBLE,BACKTEST,Entry,Buy,1,6598.50,6599.00,0.50,6584.00,6699.00,,,,,,,
2018-01-04 10:00:00,ENSEMBLE,BACKTEST,Exit,Buy,1,6598.50,6599.00,0.50,6584.00,6699.00,MaxHold,6603.50,9.00,9.00,0,9.00,55.50
2018-01-04 10:15:00,ENSEMBLE,BACKTEST,Entry,Buy,1,6603.50,6603.25,0.25,6588.25,6703.25,,,,,,,
2018-01-04 10:15:00,ENSEMBLE,BACKTEST,Exit,Buy,1,6603.50,6603.25,0.25,6588.25,6703.25,MaxHold,6604.00,1.50,1.50,0,10.50,57.00
2018-01-04 10:30:00,ENSEMBLE,BACKTEST,Entry,Buy,1,6604.00,6604.00,0.00,6589.00,6704.00,,,,,,,
2018-01-04 10:30:00,ENSEMBLE,BACKTEST,Exit,Buy,1,6604.00,6604.00,0.00,6589.00,6704.00,MaxHold,6608.00,8.00,8.00,0,18.50,65.00
2018-01-04 10:45:00,ENSEMBLE,BACKTEST,Entry,Buy,1,6608.00,6607.75,0.25,6592.75,6707.75,,,,,,,
2018-01-04 10:45:00,ENSEMBLE,BACKTEST,Exit,Buy,1,6608.00,6607.75,0.25,6592.75,6707.75,MaxHold,6605.00,-5.50,-5.50,0,13.00,59.50
2018-01-04 16:30:00,ENSEMBLE,BACKTEST,Entry,Buy,1,6604.00,6603.25,0.75,6588.25,6703.25,,,,,,,
2018-01-04 16:30:00,ENSEMBLE,BACKTEST,Exit,Buy,1,6604.00,6603.25,0.75,6588.25,6703.25,MaxHold,6607.50,8.50,8.50,0,21.50,68.00
2018-01-05 10:00:00,ENSEMBLE,BACKTEST,Entry,Buy,1,6623.75,6624.50,0.75,6609.50,6724.50,,,,,,,
2018-01-05 10:00:00,ENSEMBLE,BACKTEST,Exit,Buy,1,6623.75,6624.50,0.75,6609.50,6724.50,MaxHold,6626.00,3.00,3.00,0,3.00,71.00
