timestamp,strategy,account,action,side,contracts,signal_price,fill_price,slippage_pts,sl_price,tp_price,exit_reason,exit_price,pnl_per_contract,pnl_total,bars_held,daily_pnl,monthly_pnl
2018-01-02 10:30:00,IB,BACKTEST,Entry,Buy,1,6495.75,6495.50,0.25,6485.50,6615.50,,,,,,,
2018-01-02 14:00:00,IB,BACKTEST,Exit,Buy,1,6495.75,6495.50,0.25,6485.50,6615.50,MaxHold,6514.75,38.50,38.50,15,38.50,38.50
2018-01-03 10:15:00,IB,BACKTEST,Entry,Buy,1,6562.50,6562.50,0.00,6552.50,6682.50,,,,,,,
2018-01-03 13:45:00,IB,BACKTEST,Exit,Buy,1,6562.50,6562.50,0.00,6552.50,6682.50,MaxHold,6573.00,21.00,21.00,15,21.00,59.50
2018-01-05 10:45:00,IB,BACKTEST,Entry,Buy,1,6634.00,6634.00,0.00,6624.00,6754.00,,,,,,,
2018-01-05 14:15:00,IB,BACKTEST,Exit,Buy,1,6634.00,6634.00,0.00,6624.00,6754.00,MaxHold,6653.75,39.50,39.50,15,39.50,99.00
2018-01-08 10:30:00,IB,BACKTEST,Entry,Buy,1,6679.25,6679.25,0.00,6669.25,6799.25,,,,,,,
2018-01-08 14:00:00,IB,BACKTEST,Exit,Buy,1,6679.25,6679.25,0.00,6669.25,6799.25,MaxHold,6687.50,16.50,16.50,15,16.50,115.50
2018-01-10 14:00:00,IB,BACKTEST,Entry,Buy,1,6670.50,6670.75,0.25,6660.75,6790.75,,,,,,,
2018-01-10 14:11:00,IB,BACKTEST,Exit,Buy,1,6670.50,6670.75,0.25,6660.75,6790.75,SL,6660.75,-20.00,-20.00,0,-20.00,95.50
2018-01-12 10:15:00,IB,BACKTEST,Entry,Buy,1,6732.00,6732.25,0.25,6722.25,6852.25,,,,,,,
2018-01-12 13:45:00,IB,BACKTEST,Exit,Buy,1,6732.00,6732.25,0.25,6722.25,6852.25,MaxHold,6763.75,63.00,63.00,15,63.00,158.50
2018-01-17 11:15:00,IB,BACKTEST,Entry,Buy,1,6787.25,6787.25,0.00,6777.25,6907.25,,,,,,,
2018-01-17 14:45:00,IB,BACKTEST,Exit,Buy,1,6787.25,6787.25,0.00,6777.25,6907.25,MaxHold,6823.75,73.00,73.00,15,73.00,231.50
2018-01-18 10:15:00,IB,BACKTEST,Entry,Sell,1,6797.50,6797.50,0.00,6807.50,6677.50,,,,,,,
2018-01-18 10:19:00,IB,BACKTEST,Exit,Sell,1,6797.50,6797.50,0.00,6807.50,6677.50,SL,6807.50,-20.00,-20.00,0,-20.00,211.50
2018-01-19 10:15:00,IB,BACKTEST,Entry,Sell,1,6826.75,6826.50,0.25,6836.50,6706.50,,,,,,,
2018-01-19 12:48:00,IB,BACKTEST,Exit,Sell,1,6826.75,6826.50,0.25,6836.50,6706.50,SL,6836.50,-20.00,-20.00,10,-20.00,191.50
2018-01-22 10:15:00,IB,BACKTEST,Entry,Buy,1,6868.75,6868.75,0.00,6858.75,6988.75,,,,,,,
2018-01-22 13:45:00,IB,BACKTEST,Exit,Buy,1,6868.75,6868.75,0.00,6858.75,6988.75,MaxHold,6900.25,63.00,63.00,15,63.00,254.50
2018-01-23 10:30:00,IB,BACKTEST,Entry,Buy,1,6965.00,6965.25,0.25,6955.25,7085.25,,,,,,,
2018-01-23 14:00:00,IB,BACKTEST,Exit,Buy,1,6965.00,6965.25,0.25,6955.25,7085.25,MaxHold,6970.50,10.50,10.50,15,10.50,265.00
2018-01-24 10:15:00,IB,BACKTEST,Entry,Buy,1,6998.25,6998.25,0.00,6988.25,7118.25,,,,,,,
2018-01-24 10:20:00,IB,BACKTEST,Exit,Buy,1,6998.25,6998.25,0.00,6988.25,7118.25,SL,6988.25,-20.00,-20.00,0,-20.00,245.00
2018-01-26 10:45:00,IB,BACKTEST,Entry,Buy,1,6979.25,6979.50,0.25,6969.50,7099.50,,,,,,,
2018-01-26 14:15:00,IB,BACKTEST,Exit,Buy,1,6979.25,6979.50,0.25,6969.50,7099.50,MaxHold,6992.00,25.00,25.00,15,25.00,270.00
2018-01-29 10:45:00,IB,BACKTEST,Entry,Sell,1,6986.00,6986.25,0.25,6996.25,6866.25,,,,,,,
2018-01-29 10:57:00,IB,BACKTEST,Exit,Sell,1,6986.00,6986.25,0.25,6996.25,6866.25,SL,6996.25,-20.00,-20.00,0,-20.00,250.00
2018-02-13 10:15:00,IB,BACKTEST,Entry,Buy,1,6516.75,6516.25,0.50,6506.25,6636.25,,,,,,,
2018-02-13 11:37:00,IB,BACKTEST,Exit,Buy,1,6516.75,6516.25,0.50,6506.25,6636.25,SL,6506.25,-20.00,-20.00,5,-20.00,-20.00
2018-02-16 11:15:00,IB,BACKTEST,Entry,Buy,1,6832.75,6832.50,0.25,6822.50,6952.50,,,,,,,
2018-02-16 11:29:00,IB,BACKTEST,Exit,Buy,1,6832.75,6832.50,0.25,6822.50,6952.50,SL,6822.50,-20.00,-20.00,0,-20.00,-40.00
2018-02-19 10:15:00,IB,BACKTEST,Entry,Sell,1,6774.25,6774.25,0.00,6784.25,6654.25,,,,,,,
2018-02-19 11:47:00,IB,BACKTEST,Exit,Sell,1,6774.25,6774.25,0.00,6784.25,6654.25,SL,6784.25,-20.00,-20.00,6,-20.00,-60.00
2018-02-21 10:30:00,IB,BACKTEST,Entry,Buy,1,6836.50,6836.25,0.25,6826.25,6956.25,,,,,,,
2018-02-21 14:00:00,IB,BACKTEST,Exit,Buy,1,6836.50,6836.25,0.25,6826.25,6956.25,MaxHold,6869.00,65.50,65.50,15,65.50,5.50
2018-02-22 11:15:00,IB,BACKTEST,Entry,Buy,1,6822.75,6823.00,0.25,6813.00,6943.00,,,,,,,
2018-02-22 11:32:00,IB,BACKTEST,Exit,Buy,1,6822.75,6823.00,0.25,6813.00,6943.00,SL,6813.00,-20.00,-20.00,1,-20.00,-14.50
2018-02-26 12:30:00,IB,BACKTEST,Entry,Buy,1,6965.25,6965.75,0.50,6955.75,7085.75,,,,,,,
2018-02-26 16:00:00,IB,BACKTEST,Exit,Buy,1,6965.25,6965.75,0.50,6955.75,7085.75,MaxHold,7000.25,69.00,69.00,15,69.00,54.50
2018-02-27 10:15:00,IB,BACKTEST,Entry,Buy,1,7001.25,7001.25,0.00,6991.25,7121.25,,,,,,,
2018-02-27 10:38:00,IB,BACKTEST,Exit,Buy,1,7001.25,7001.25,0.00,6991.25,7121.25,SL,6991.25,-20.00,-20.00,1,-20.00,34.50
2018-02-28 11:00:00,IB,BACKTEST,Entry,Sell,1,6924.75,6924.75,0.00,6934.75,6804.75,,,,,,,
