date,trade_num,direction,entry_time,exit_time,entry_price,exit_price,exit_reason,contracts,pnl,cumulative_daily_pnl,cumulative_total_pnl
2020-01-02,1,LONG,2020-01-02 10:45:00-05:00,2020-01-02 11:30:00-05:00,8816.5,8816.0,break_even,19,-90.82,-90.82,-90.82
2020-01-02,2,SHORT,2020-01-02 12:45:00-05:00,2020-01-02 13:00:00-05:00,8842.25,8842.75,break_even,19,-90.82,-181.64,-181.64
2020-01-02,3,SHORT,2020-01-02 14:15:00-05:00,2020-01-02 14:30:00-05:00,8848.5,8849.0,break_even,19,-90.82,-272.46,-272.46
2020-01-02,4,SHORT,2020-01-02 15:45:00-05:00,2020-01-02 16:00:00-05:00,8868.75,8869.25,break_even,19,-90.82,-363.28,-363.28
2020-01-02,DAILY_SUMMARY,-,-,-,-,-,-,trades=4,-363.28,-,-363.28
2020-01-03,1,LONG,2020-01-03 09:45:00-05:00,2020-01-03 10:00:00-05:00,8838.0,8837.5,break_even,19,-90.82,-90.82,-454.1
2020-01-03,2,LONG,2020-01-03 11:15:00-05:00,2020-01-03 12:30:00-05:00,8817.5,8854.25,max_hold,19,1324.68,1233.86,870.58
2020-01-03,3,SHORT,2020-01-03 12:45:00-05:00,2020-01-03 13:00:00-05:00,8854.5,8855.0,break_even,19,-90.82,1143.04,779.76
2020-01-03,4,LONG,2020-01-03 14:15:00-05:00,2020-01-03 15:30:00-05:00,8824.5,8824.0,break_even,19,-90.82,1052.22,688.94
2020-01-03,5,LONG,2020-01-03 15:45:00-05:00,2020-01-03 16:00:00-05:00,8825.0,8824.5,break_even,19,-90.82,961.4,598.12
2020-01-03,DAILY_SUMMARY,-,-,-,-,-,-,trades=5,961.4,-,598.12
2020-01-06,1,LONG,2020-01-06 09:45:00-05:00,2020-01-06 11:00:00-05:00,8774.75,8831.5,max_hold,19,2084.68,2084.68,2682.8
2020-01-06,2,SHORT,2020-01-06 11:15:00-05:00,2020-01-06 11:30:00-05:00,8831.75,8832.25,break_even,19,-90.82,1993.86,2591.98
2020-01-06,3,SHORT,2020-01-06 13:15:00-05:00,2020-01-06 13:30:00-05:00,8832.5,8833.0,break_even,19,-90.82,1903.04,2501.16
2020-01-06,4,SHORT,2020-01-06 15:00:00-05:00,2020-01-06 15:15:00-05:00,8839.5,8840.0,break_even,19,-90.82,1812.22,2410.34
2020-01-06,DAILY_SUMMARY,-,-,-,-,-,-,trades=4,1812.22,-,2410.34
2020-01-07,1,LONG,2020-01-07 09:45:00-05:00,2020-01-07 10:30:00-05:00,8837.75,8852.25,stop_loss,19,479.18,479.18,2889.52
2020-01-07,2,SHORT,2020-01-07 11:00:00-05:00,2020-01-07 11:15:00-05:00,8875.25,8875.75,break_even,19,-90.82,388.36,2798.7
2020-01-07,3,SHORT,2020-01-07 12:30:00-05:00,2020-01-07 12:45:00-05:00,8876.0,8876.5,break_even,19,-90.82,297.54,2707.88
2020-01-07,4,SHORT,2020-01-07 14:00:00-05:00,2020-01-07 15:15:00-05:00,8883.75,8880.25,max_hold,19,61.18,358.72,2769.06
2020-01-07,5,SHORT,2020-01-07 15:30:00-05:00,2020-01-08 09:30:00-05:00,8879.0,8879.5,break_even,19,-90.82,267.9,2678.24
2020-01-07,DAILY_SUMMARY,-,-,-,-,-,-,trades=5,267.9,-,2678.24
2020-01-08,1,SHORT,2020-01-08 10:00:00-05:00,2020-01-08 10:15:00-05:00,8890.0,8890.5,break_even,19,-90.82,-90.82,2587.42
2020-01-08,2,SHORT,2020-01-08 11:30:00-05:00,2020-01-08 11:45:00-05:00,8897.0,8897.5,break_even,19,-90.82,-181.64,2496.6
2020-01-08,3,SHORT,2020-01-08 13:00:00-05:00,2020-01-08 13:15:00-05:00,8939.5,8940.0,break_even,19,-90.82,-272.46,2405.78
2020-01-08,4,SHORT,2020-01-08 14:30:00-05:00,2020-01-08 14:45:00-05:00,8941.25,8941.75,break_even,19,-90.82,-363.28,2314.96
2020-01-08,5,LONG,2020-01-08 16:00:00-05:00,2020-01-09 10:15:00-05:00,8930.25,9004.75,max_hold,19,2759.18,2395.9,5074.14
2020-01-08,DAILY_SUMMARY,-,-,-,-,-,-,trades=5,2395.9,-,5074.14
2020-01-09,1,SHORT,2020-01-09 10:30:00-05:00,2020-01-09 10:45:00-05:00,9004.5,9005.0,break_even,19,-90.82,-90.82,4983.32
2020-01-09,2,SHORT,2020-01-09 12:00:00-05:00,2020-01-09 13:15:00-05:00,9006.75,8986.75,max_hold,19,688.18,597.36,5671.5
2020-01-09,3,SHORT,2020-01-09 14:30:00-05:00,2020-01-09 14:45:00-05:00,8993.5,8994.0,break_even,19,-90.82,506.54,5580.68
2020-01-09,4,SHORT,2020-01-09 16:00:00-05:00,2020-01-09 16:30:00-05:00,9005.5,9006.0,break_even,19,-90.82,415.72,5489.86
2020-01-09,DAILY_SUMMARY,-,-,-,-,-,-,trades=4,415.72,-,5489.86
2020-01-10,1,SHORT,2020-01-10 09:45:00-05:00,2020-01-10 10:00:00-05:00,9017.5,9018.0,break_even,19,-90.82,-90.82,5399.04
2020-01-10,2,SHORT,2020-01-10 11:15:00-05:00,2020-01-10 12:30:00-05:00,9038.25,9008.25,max_hold,19,1068.18,977.36,6467.22
2020-01-10,3,LONG,2020-01-10 12:45:00-05:00,2020-01-10 13:00:00-05:00,9008.75,9008.25,break_even,19,-90.82,886.54,6376.4
2020-01-10,4,LONG,2020-01-10 14:15:00-05:00,2020-01-10 14:30:00-05:00,9000.0,8999.5,break_even,19,-90.82,795.72,6285.58
2020-01-10,5,LONG,2020-01-10 15:45:00-05:00,2020-01-10 16:00:00-05:00,8976.0,8975.5,break_even,19,-90.82,704.9,6194.76
2020-01-10,DAILY_SUMMARY,-,-,-,-,-,-,trades=5,704.9,-,6194.76
2020-01-13,1,SHORT,2020-01-13 09:45:00-05:00,2020-01-13 10:00:00-05:00,9022.25,9022.75,break_even,19,-90.82,-90.82,6103.94
2020-01-13,2,SHORT,2020-01-13 11:15:00-05:00,2020-01-13 11:30:00-05:00,9034.75,9035.25,break_even,19,-90.82,-181.64,6013.12
2020-01-13,3,SHORT,2020-01-13 12:45:00-05:00,2020-01-13 13:00:00-05:00,9060.5,9061.0,break_even,19,-90.82,-272.46,5922.3
2020-01-13,4,SHORT,2020-01-13 14:15:00-05:00,2020-01-13 14:30:00-05:00,9069.5,9070.0,break_even,19,-90.82,-363.28,5831.48
