date,trade_num,entry_time,exit_time,direction,contracts,entry_px,exit_px,net_pnl,reason
2020-01-02,1,2020-01-02 10:45:00-05:00,2020-01-02 11:30:00-05:00,LONG,5,8816.5,8816.0,-23.9,break_even
2020-01-02,2,2020-01-02 12:45:00-05:00,2020-01-02 13:00:00-05:00,SHORT,5,8842.25,8842.75,-23.9,break_even
2020-01-02,3,2020-01-02 14:15:00-05:00,2020-01-02 14:30:00-05:00,SHORT,5,8848.5,8849.0,-23.9,break_even
2020-01-02,4,2020-01-02 15:45:00-05:00,2020-01-02 16:00:00-05:00,SHORT,5,8868.75,8869.25,-23.9,break_even
2020-01-03,1,2020-01-03 09:45:00-05:00,2020-01-03 10:00:00-05:00,LONG,5,8838.0,8837.5,-23.9,break_even
2020-01-03,2,2020-01-03 11:15:00-05:00,2020-01-03 12:30:00-05:00,LONG,5,8817.5,8854.25,348.6,max_hold
2020-01-03,3,2020-01-03 12:45:00-05:00,2020-01-03 13:00:00-05:00,SHORT,5,8854.5,8855.0,-23.9,break_even
2020-01-03,4,2020-01-03 14:15:00-05:00,2020-01-03 15:30:00-05:00,LONG,5,8824.5,8824.0,-23.9,break_even
2020-01-03,5,2020-01-03 15:45:00-05:00,2020-01-03 16:00:00-05:00,LONG,5,8825.0,8824.5,-23.9,break_even
2020-01-06,1,2020-01-06 09:45:00-05:00,2020-01-06 11:00:00-05:00,LONG,5,8774.75,8831.5,548.6,max_hold
2020-01-06,2,2020-01-06 11:15:00-05:00,2020-01-06 11:30:00-05:00,SHORT,5,8831.75,8832.25,-23.9,break_even
2020-01-06,3,2020-01-06 13:15:00-05:00,2020-01-06 13:30:00-05:00,SHORT,5,8832.5,8833.0,-23.9,break_even
2020-01-06,4,2020-01-06 15:00:00-05:00,2020-01-06 15:15:00-05:00,SHORT,5,8839.5,8840.0,-23.9,break_even
2020-01-07,1,2020-01-07 09:45:00-05:00,2020-01-07 10:30:00-05:00,LONG,5,8837.75,8852.25,126.1,stop_loss
2020-01-07,2,2020-01-07 11:00:00-05:00,2020-01-07 11:15:00-05:00,SHORT,5,8875.25,8875.75,-23.9,break_even
2020-01-07,3,2020-01-07 12:30:00-05:00,2020-01-07 12:45:00-05:00,SHORT,5,8876.0,8876.5,-23.9,break_even
2020-01-07,4,2020-01-07 14:00:00-05:00,2020-01-07 15:15:00-05:00,SHORT,5,8883.75,8880.25,16.1,max_hold
