date,trade_num,direction,entry_time,exit_time,entry_price,exit_price,exit_reason,contracts,bars_held,net_pnl,cumulative_daily_pnl,cumulative_total_pnl,day_trade_count,day_net_pnl,day_result
2020-01-02,1,LONG,2020-01-02 10:45:00-05:00,2020-01-02 11:30:00-05:00,8816.5,8816.0,break_even,6,3,-28.68,-28.68,-28.68,4,-114.72,LOSS
2020-01-02,2,SHORT,2020-01-02 12:45:00-05:00,2020-01-02 13:00:00-05:00,8842.25,8842.75,break_even,6,1,-28.68,-57.36,-57.36,4,-114.72,LOSS
2020-01-02,3,SHORT,2020-01-02 14:15:00-05:00,2020-01-02 14:30:00-05:00,8848.5,8849.0,break_even,6,1,-28.68,-86.04,-86.04,4,-114.72,LOSS
2020-01-02,4,SHORT,2020-01-02 15:45:00-05:00,2020-01-02 16:00:00-05:00,8868.75,8869.25,break_even,6,1,-28.68,-114.72,-114.72,4,-114.72,LOSS
2020-01-03,1,LONG,2020-01-03 09:45:00-05:00,2020-01-03 10:00:00-05:00,8838.0,8837.5,break_even,6,1,-28.68,-28.68,-143.4,5,303.6,WIN
2020-01-03,2,LONG,2020-01-03 11:15:00-05:00,2020-01-03 12:30:00-05:00,8817.5,8854.25,max_hold,6,5,418.32,389.64,274.92,5,303.6,WIN
2020-01-03,3,SHORT,2020-01-03 12:45:00-05:00,2020-01-03 13:00:00-05:00,8854.5,8855.0,break_even,6,1,-28.68,360.96,246.24,5,303.6,WIN
2020-01-03,4,LONG,2020-01-03 14:15:00-05:00,2020-01-03 15:30:00-05:00,8824.5,8824.0,break_even,6,5,-28.68,332.28,217.56,5,303.6,WIN
2020-01-03,5,LONG,2020-01-03 15:45:00-05:00,2020-01-03 16:00:00-05:00,8825.0,8824.5,break_even,6,1,-28.68,303.6,188.88,5,303.6,WIN
2020-01-06,1,LONG,2020-01-06 09:45:00-05:00,2020-01-06 11:00:00-05:00,8774.75,8831.5,max_hold,6,5,658.32,658.32,847.2,4,572.28,WIN
2020-01-06,2,SHORT,2020-01-06 11:15:00-05:00,2020-01-06 11:30:00-05:00,8831.75,8832.25,break_even,6,1,-28.68,629.64,818.52,4,572.28,WIN
2020-01-06,3,SHORT,2020-01-06 13:15:00-05:00,2020-01-06 13:30:00-05:00,8832.5,8833.0,break_even,6,1,-28.68,600.96,789.84,4,572.28,WIN
2020-01-06,4,SHORT,2020-01-06 15:00:00-05:00,2020-01-06 15:15:00-05:00,8839.5,8840.0,break_even,6,1,-28.68,572.28,761.16,4,572.28,WIN
2020-01-07,1,LONG,2020-01-07 09:45:00-05:00,2020-01-07 11:00:00-05:00,8837.75,8881.75,max_hold,6,5,505.32,505.32,1266.48,5,390.6,WIN
2020-01-07,2,SHORT,2020-01-07 11:15:00-05:00,2020-01-07 11:30:00-05:00,8881.75,8882.25,break_even,6,1,-28.68,476.64,1237.8,5,390.6,WIN
2020-01-07,3,SHORT,2020-01-07 13:15:00-05:00,2020-01-07 13:30:00-05:00,8880.75,8881.25,break_even,6,1,-28.68,447.96,1209.12,5,390.6,WIN
2020-01-07,4,LONG,2020-01-07 14:45:00-05:00,2020-01-07 15:45:00-05:00,8868.0,8867.5,break_even,6,4,-28.68,419.28,1180.44,5,390.6,WIN
2020-01-07,5,LONG,2020-01-07 16:30:00-05:00,2020-01-08 09:30:00-05:00,8853.25,8852.75,break_even,6,1,-28.68,390.6,1151.76,5,390.6,WIN
2020-01-08,1,SHORT,2020-01-08 11:30:00-05:00,2020-01-08 11:45:00-05:00,8897.0,8897.5,break_even,6,1,-28.68,-28.68,1123.08,4,785.28,WIN
2020-01-08,2,SHORT,2020-01-08 13:00:00-05:00,2020-01-08 13:15:00-05:00,8939.5,8940.0,break_even,6,1,-28.68,-57.36,1094.4,4,785.28,WIN
2020-01-08,3,SHORT,2020-01-08 14:30:00-05:00,2020-01-08 14:45:00-05:00,8941.25,8941.75,break_even,6,1,-28.68,-86.04,1065.72,4,785.28,WIN
2020-01-08,4,LONG,2020-01-08 16:00:00-05:00,2020-01-09 10:15:00-05:00,8930.25,9004.75,max_hold,6,5,871.32,785.28,1937.04,4,785.28,WIN
2020-01-09,1,SHORT,2020-01-09 10:30:00-05:00,2020-01-09 10:45:00-05:00,9004.5,9005.0,break_even,6,1,-28.68,-28.68,1908.36,4,131.28,WIN
2020-01-09,2,SHORT,2020-01-09 12:00:00-05:00,2020-01-09 13:15:00-05:00,9006.75,8986.75,max_hold,6,5,217.32,188.64,2125.68,4,131.28,WIN
2020-01-09,3,SHORT,2020-01-09 14:30:00-05:00,2020-01-09 14:45:00-05:00,8993.5,8994.0,break_even,6,1,-28.68,159.96,2097.0,4,131.28,WIN
2020-01-09,4,SHORT,2020-01-09 16:00:00-05:00,2020-01-09 16:30:00-05:00,9005.5,9006.0,break_even,6,1,-28.68,131.28,2068.32,4,131.28,WIN
2020-01-10,1,SHORT,2020-01-10 09:45:00-05:00,2020-01-10 10:00:00-05:00,9017.5,9018.0,break_even,6,1,-28.68,-28.68,2039.64,5,222.6,WIN
2020-01-10,2,SHORT,2020-01-10 11:15:00-05:00,2020-01-10 12:30:00-05:00,9038.25,9008.25,max_hold,6,5,337.32,308.64,2376.96,5,222.6,WIN
2020-01-10,3,LONG,2020-01-10 12:45:00-05:00,2020-01-10 13:00:00-05:00,9008.75,9008.25,break_even,6,1,-28.68,279.96,2348.28,5,222.6,WIN
2020-01-10,4,LONG,2020-01-10 14:15:00-05:00,2020-01-10 14:30:00-05:00,9000.0,8999.5,break_even,6,1,-28.68,251.28,2319.6,5,222.6,WIN
2020-01-10,5,LONG,2020-01-10 15:45:00-05:00,2020-01-10 16:00:00-05:00,8976.0,8975.5,break_even,6,1,-28.68,222.6,2290.92,5,222.6,WIN
2020-01-13,1,SHORT,2020-01-13 09:45:00-05:00,2020-01-13 10:00:00-05:00,9022.25,9022.75,break_even,6,1,-28.68,-28.68,2262.24,5,-143.4,LOSS
2020-01-13,2,SHORT,2020-01-13 11:15:00-05:00,2020-01-13 11:30:00-05:00,9034.75,9035.25,break_even,6,1,-28.68,-57.36,2233.56,5,-143.4,LOSS
2020-01-13,3,SHORT,2020-01-13 12:45:00-05:00,2020-01-13 13:00:00-05:00,9060.5,9061.0,break_even,6,1,-28.68,-86.04,2204.88,5,-143.4,LOSS
2020-01-13,4,SHORT,2020-01-13 14:15:00-05:00,2020-01-13 14:30:00-05:00,9069.5,9070.0,break_even,6,1,-28.68,-114.72,2176.2,5,-143.4,LOSS
2020-01-13,5,SHORT,2020-01-13 15:45:00-05:00,2020-01-13 16:00:00-05:00,9072.75,9073.25,break_even,6,1,-28.68,-143.4,2147.52,5,-143.4,LOSS
2020-01-14,1,LONG,2020-01-14 09:45:00-05:00,2020-01-14 10:00:00-05:00,9062.5,9062.0,break_even,6,1,-28.68,-28.68,2118.84,4,224.28,WIN
2020-01-14,2,SHORT,2020-01-14 12:00:00-05:00,2020-01-14 12:15:00-05:00,9076.5,9077.0,break_even,6,1,-28.68,-57.36,2090.16,4,224.28,WIN
2020-01-14,3,SHORT,2020-01-14 13:30:00-05:00,2020-01-14 14:45:00-05:00,9088.75,9061.0,max_hold,6,5,310.32,252.96,2400.48,4,224.28,WIN
2020-01-14,4,LONG,2020-01-14 15:15:00-05:00,2020-01-14 15:30:00-05:00,9048.5,9048.0,break_even,6,1,-28.68,224.28,2371.8,4,224.28,WIN
2020-01-15,1,SHORT,2020-01-15 09:45:00-05:00,2020-01-15 10:00:00-05:00,9067.25,9067.75,break_even,6,1,-28.68,-28.68,2343.12,4,203.28,WIN
2020-01-15,2,SHORT,2020-01-15 12:15:00-05:00,2020-01-15 13:30:00-05:00,9086.5,9060.5,max_hold,6,5,289.32,260.64,2632.44,4,203.28,WIN
2020-01-15,3,LONG,2020-01-15 13:45:00-05:00,2020-01-15 14:00:00-05:00,9060.25,9059.75,break_even,6,1,-28.68,231.96,2603.76,4,203.28,WIN
2020-01-15,4,LONG,2020-01-15 15:15:00-05:00,2020-01-15 15:30:00-05:00,9053.75,9053.25,break_even,6,1,-28.68,203.28,2575.08,4,203.28,WIN
