date,trade_count,wins,losses,gross_pnl,net_pnl,avg_win,avg_loss,win_rate,max_single_loss,max_single_win,killswitch_triggered,day_result,cumulative_total_pnl
2020-01-29,4,0,4,-114.72,-114.72,0.0,-28.68,0.0,-28.68,-28.68,0,LOSS,4500.84
2020-01-30,4,0,4,-114.72,-114.72,0.0,-28.68,0.0,-28.68,-28.68,0,LOSS,4386.12
2020-01-31,4,0,4,-114.72,-114.72,0.0,-28.68,0.0,-28.68,-28.68,0,LOSS,4271.4
2020-02-03,5,2,3,1284.6,1284.6,685.32,-28.68,40.0,-28.68,1171.32,0,WIN,5556.0
2020-02-04,5,0,5,-143.4,-143.4,0.0,-28.68,0.0,-28.68,-28.68,0,LOSS,5412.6
2020-02-05,4,1,3,284.28,284.28,370.32,-28.68,25.0,-28.68,370.32,0,WIN,5696.88
2020-02-06,5,2,3,177.6,177.6,131.82,-28.68,40.0,-28.68,199.32,0,WIN,5874.48
2020-02-07,4,0,4,-114.72,-114.72,0.0,-28.68,0.0,-28.68,-28.68,0,LOSS,5759.76
2020-02-10,5,0,5,-143.4,-143.4,0.0,-28.68,0.0,-28.68,-28.68,0,LOSS,5616.36
2020-02-11,4,0,4,-114.72,-114.72,0.0,-28.68,0.0,-28.68,-28.68,0,LOSS,5501.64
2020-02-12,5,1,4,42.6,42.6,157.32,-28.68,20.0,-28.68,157.32,0,WIN,5544.24
2020-02-13,4,0,4,-114.72,-114.72,0.0,-28.68,0.0,-28.68,-28.68,0,LOSS,5429.52
2020-02-14,4,1,3,230.28,230.28,316.32,-28.68,25.0,-28.68,316.32,0,WIN,5659.8
2020-02-17,3,1,2,564.96,564.96,622.32,-28.68,33.33,-28.68,622.32,0,WIN,6224.76
2020-02-18,3,0,3,-86.04,-86.04,0.0,-28.68,0.0,-28.68,-28.68,0,LOSS,6138.72
2020-02-19,5,0,5,-143.4,-143.4,0.0,-28.68,0.0,-28.68,-28.68,0,LOSS,5995.32
2020-02-20,5,1,4,618.6,618.6,733.32,-28.68,20.0,-28.68,733.32,0,WIN,6613.92
2020-02-21,4,0,4,-114.72,-114.72,0.0,-28.68,0.0,-28.68,-28.68,0,LOSS,6499.2
2020-02-24,5,0,5,-143.4,-143.4,0.0,-28.68,0.0,-28.68,-28.68,0,LOSS,6355.8
2020-02-25,5,1,4,1056.6,1056.6,1171.32,-28.68,20.0,-28.68,1171.32,0,WIN,7412.4
2020-02-26,5,2,3,1977.6,1977.6,1031.82,-28.68,40.0,-28.68,1171.32,0,WIN,9390.0
2020-02-27,5,2,3,2256.6,2256.6,1171.32,-28.68,40.0,-28.68,1171.32,0,WIN,11646.6
2020-02-28,1,0,1,-28.68,-28.68,0.0,-28.68,0.0,-28.68,-28.68,0,LOSS,11617.92
2020-03-02,6,2,4,2227.92,2227.92,1171.32,-28.68,33.33,-28.68,1171.32,0,WIN,13845.84
2020-03-03,5,0,5,-143.4,-143.4,0.0,-28.68,0.0,-28.68,-28.68,0,LOSS,13702.44
2020-03-04,5,1,4,1056.6,1056.6,1171.32,-28.68,20.0,-28.68,1171.32,0,WIN,14759.04
2020-03-05,5,0,5,-143.4,-143.4,0.0,-28.68,0.0,-28.68,-28.68,0,LOSS,14615.64
2020-03-06,3,0,3,-86.04,-86.04,0.0,-28.68,0.0,-28.68,-28.68,0,LOSS,14529.6
2020-03-09,5,1,4,1056.6,1056.6,1171.32,-28.68,20.0,-28.68,1171.32,0,WIN,15586.2
2020-03-10,5,1,4,1056.6,1056.6,1171.32,-28.68,20.0,-28.68,1171.32,0,WIN,16642.8
2020-03-11,5,0,5,-143.4,-143.4,0.0,-28.68,0.0,-28.68,-28.68,0,LOSS,16499.4
2020-03-12,6,2,4,2227.92,2227.92,1171.32,-28.68,33.33,-28.68,1171.32,0,WIN,18727.32
2020-03-13,4,0,4,-114.72,-114.72,0.0,-28.68,0.0,-28.68,-28.68,0,LOSS,18612.6
2020-03-16,5,1,4,1056.6,1056.6,1171.32,-28.68,20.0,-28.68,1171.32,0,WIN,19669.2
2020-03-17,5,2,3,2256.6,2256.6,1171.32,-28.68,40.0,-28.68,1171.32,0,WIN,21925.8
2020-03-18,5,2,3,2256.6,2256.6,1171.32,-28.68,40.0,-28.68,1171.32,0,WIN,24182.4
2020-03-19,5,1,4,1056.6,1056.6,1171.32,-28.68,20.0,-28.68,1171.32,0,WIN,25239.0
2020-03-23,7,3,4,3399.24,3399.24,1171.32,-28.68,42.86,-28.68,1171.32,0,WIN,28638.24
2020-03-24,5,1,4,1056.6,1056.6,1171.32,-28.68,20.0,-28.68,1171.32,0,WIN,29694.84
2020-03-25,5,3,2,3456.6,3456.6,1171.32,-28.68,60.0,-28.68,1171.32,0,WIN,33151.44
2020-03-26,5,1,4,1056.6,1056.6,1171.32,-28.68,20.0,-28.68,1171.32,0,WIN,34208.04
2020-03-27,4,0,4,-114.72,-114.72,0.0,-28.68,0.0,-28.68,-28.68,0,LOSS,34093.32
2020-03-30,5,1,4,63.6,63.6,178.32,-28.68,20.0,-28.68,178.32,0,WIN,34156.92
2020-03-31,5,1,4,1056.6,1056.6,1171.32,-28.68,20.0,-28.68,1171.32,0,WIN,35213.52
2020-04-01,5,0,5,-143.4,-143.4,0.0,-28.68,0.0,-28.68,-28.68,0,LOSS,35070.12
2020-04-02,5,0,5,-143.4,-143.4,0.0,-28.68,0.0,-28.68,-28.68,0,LOSS,34926.72
2020-04-03,5,1,4,1056.6,1056.6,1171.32,-28.68,20.0,-28.68,1171.32,0,WIN,35983.32
2020-04-06,4,0,4,-114.72,-114.72,0.0,-28.68,0.0,-28.68,-28.68,0,LOSS,35868.6
2020-04-07,5,0,5,-143.4,-143.4,0.0,-28.68,0.0,-28.68,-28.68,0,LOSS,35725.2
2020-04-08,5,0,5,-143.4,-143.4,0.0,-28.68,0.0,-28.68,-28.68,0,LOSS,35581.8
2020-04-09,4,1,3,542.28,542.28,628.32,-28.68,25.0,-28.68,628.32,0,WIN,36124.08
2020-04-13,4,1,3,566.28,566.28,652.32,-28.68,25.0,-28.68,652.32,0,WIN,36690.36
2020-04-14,5,0,5,-143.4,-143.4,0.0,-28.68,0.0,-28.68,-28.68,0,LOSS,36546.96
2020-04-15,5,0,5,-143.4,-143.4,0.0,-28.68,0.0,-28.68,-28.68,0,LOSS,36403.56
2020-04-16,5,0,5,-143.4,-143.4,0.0,-28.68,0.0,-28.68,-28.68,0,LOSS,36260.16
2020-04-17,4,0,4,-114.72,-114.72,0.0,-28.68,0.0,-28.68,-28.68,0,LOSS,36145.44
2020-04-20,5,0,5,-143.4,-143.4,0.0,-28.68,0.0,-28.68,-28.68,0,LOSS,36002.04
2020-04-21,5,2,3,2256.6,2256.6,1171.32,-28.68,40.0,-28.68,1171.32,0,WIN,38258.64
2020-04-22,5,0,5,-143.4,-143.4,0.0,-28.68,0.0,-28.68,-28.68,0,LOSS,38115.24
2020-04-23,5,1,4,1056.6,1056.6,1171.32,-28.68,20.0,-28.68,1171.32,0,WIN,39171.84
2020-04-24,4,0,4,-114.72,-114.72,0.0,-28.68,0.0,-28.68,-28.68,0,LOSS,39057.12
2020-04-27,4,0,4,-114.72,-114.72,0.0,-28.68,0.0,-28.68,-28.68,0,LOSS,38942.4
2020-04-28,5,1,4,1056.6,1056.6,1171.32,-28.68,20.0,-28.68,1171.32,0,WIN,39999.0
2020-04-29,5,1,4,783.6,783.6,898.32,-28.68,20.0,-28.68,898.32,0,WIN,40782.6
2020-04-30,4,0,4,-114.72,-114.72,0.0,-28.68,0.0,-28.68,-28.68,0,LOSS,40667.88
2020-05-01,4,1,3,134.28,134.28,220.32,-28.68,25.0,-28.68,220.32,0,WIN,40802.16
2020-05-04,5,1,4,846.6,846.6,961.32,-28.68,20.0,-28.68,961.32,0,WIN,41648.76
2020-05-05,5,1,4,1056.6,1056.6,1171.32,-28.68,20.0,-28.68,1171.32,0,WIN,42705.36
2020-05-06,5,0,5,-143.4,-143.4,0.0,-28.68,0.0,-28.68,-28.68,0,LOSS,42561.96
2020-05-07,5,1,4,99.6,99.6,214.32,-28.68,20.0,-28.68,214.32,0,WIN,42661.56
2020-05-08,4,0,4,-114.72,-114.72,0.0,-28.68,0.0,-28.68,-28.68,0,LOSS,42546.84
2020-05-11,5,0,5,-143.4,-143.4,0.0,-28.68,0.0,-28.68,-28.68,0,LOSS,42403.44
2020-05-12,4,0,4,-114.72,-114.72,0.0,-28.68,0.0,-28.68,-28.68,0,LOSS,42288.72
2020-05-13,5,1,4,1056.6,1056.6,1171.32,-28.68,20.0,-28.68,1171.32,0,WIN,43345.32
2020-05-14,5,0,5,-143.4,-143.4,0.0,-28.68,0.0,-28.68,-28.68,0,LOSS,43201.92
2020-05-15,5,0,5,-143.4,-143.4,0.0,-28.68,0.0,-28.68,-28.68,0,LOSS,43058.52
2020-05-18,4,0,4,-114.72,-114.72,0.0,-28.68,0.0,-28.68,-28.68,0,LOSS,42943.8
2020-05-19,5,1,4,1056.6,1056.6,1171.32,-28.68,20.0,-28.68,1171.32,0,WIN,44000.4
2020-05-20,5,0,5,-143.4,-143.4,0.0,-28.68,0.0,-28.68,-28.68,0,LOSS,43857.0
2020-05-21,5,2,3,1395.6,1395.6,740.82,-28.68,40.0,-28.68,1171.32,0,WIN,45252.6
2020-05-22,5,2,3,432.6,432.6,259.32,-28.68,40.0,-28.68,346.32,0,WIN,45685.2
2020-05-25,3,0,3,-86.04,-86.04,0.0,-28.68,0.0,-28.68,-28.68,0,LOSS,45599.16
2020-05-26,4,0,4,-114.72,-114.72,0.0,-28.68,0.0,-28.68,-28.68,0,LOSS,45484.44
2020-05-27,5,1,4,1056.6,1056.6,1171.32,-28.68,20.0,-28.68,1171.32,0,WIN,46541.04
2020-05-28,5,0,5,-143.4,-143.4,0.0,-28.68,0.0,-28.68,-28.68,0,LOSS,46397.64
2020-05-29,4,0,4,-114.72,-114.72,0.0,-28.68,0.0,-28.68,-28.68,0,LOSS,46282.92
2020-06-01,4,1,3,269.28,269.28,355.32,-28.68,25.0,-28.68,355.32,0,WIN,46552.2
2020-06-02,5,1,4,582.6,582.6,697.32,-28.68,20.0,-28.68,697.32,0,WIN,47134.8
2020-06-03,4,1,3,47.28,47.28,133.32,-28.68,25.0,-28.68,133.32,0,WIN,47182.08
2020-06-04,5,2,3,1815.6,1815.6,950.82,-28.68,40.0,-28.68,1171.32,0,WIN,48997.68
2020-06-05,5,0,5,-143.4,-143.4,0.0,-28.68,0.0,-28.68,-28.68,0,LOSS,48854.28
2020-06-08,4,0,4,-114.72,-114.72,0.0,-28.68,0.0,-28.68,-28.68,0,LOSS,48739.56
2020-06-09,5,0,5,-143.4,-143.4,0.0,-28.68,0.0,-28.68,-28.68,0,LOSS,48596.16
2020-06-10,5,1,4,1056.6,1056.6,1171.32,-28.68,20.0,-28.68,1171.32,0,WIN,49652.76
2020-06-11,5,1,4,1056.6,1056.6,1171.32,-28.68,20.0,-28.68,1171.32,0,WIN,50709.36
2020-06-12,5,2,3,2256.6,2256.6,1171.32,-28.68,40.0,-28.68,1171.32,0,WIN,52965.96
2020-06-15,5,1,4,1056.6,1056.6,1171.32,-28.68,20.0,-28.68,1171.32,0,WIN,54022.56
2020-06-16,4,1,3,1085.28,1085.28,1171.32,-28.68,25.0,-28.68,1171.32,0,WIN,55107.84
2020-06-17,4,2,2,770.28,770.28,413.82,-28.68,50.0,-28.68,655.32,0,WIN,55878.12
2020-06-18,4,1,3,263.28,263.28,349.32,-28.68,25.0,-28.68,349.32,0,WIN,56141.4
2020-06-22,5,0,5,-143.4,-143.4,0.0,-28.68,0.0,-28.68,-28.68,0,LOSS,55998.0
2020-06-23,5,0,5,-143.4,-143.4,0.0,-28.68,0.0,-28.68,-28.68,0,LOSS,55854.6
2020-06-24,4,0,4,-114.72,-114.72,0.0,-28.68,0.0,-28.68,-28.68,0,LOSS,55739.88
2020-06-25,4,0,4,-114.72,-114.72,0.0,-28.68,0.0,-28.68,-28.68,0,LOSS,55625.16
2020-06-26,4,1,3,260.28,260.28,346.32,-28.68,25.0,-28.68,346.32,0,WIN,55885.44
2020-06-29,5,2,3,2256.6,2256.6,1171.32,-28.68,40.0,-28.68,1171.32,0,WIN,58142.04
2020-06-30,1,0,1,-28.68,-28.68,0.0,-28.68,0.0,-28.68,-28.68,0,LOSS,58113.36
2020-07-01,5,0,5,-143.4,-143.4,0.0,-28.68,0.0,-28.68,-28.68,0,LOSS,57969.96
2020-07-02,4,1,3,449.28,449.28,535.32,-28.68,25.0,-28.68,535.32,0,WIN,58419.24
2020-07-03,2,0,2,-57.36,-57.36,0.0,-28.68,0.0,-28.68,-28.68,0,LOSS,58361.88
2020-07-06,5,0,5,-143.4,-143.4,0.0,-28.68,0.0,-28.68,-28.68,0,LOSS,58218.48
2020-07-07,5,0,5,-143.4,-143.4,0.0,-28.68,0.0,-28.68,-28.68,0,LOSS,58075.08
2020-07-08,5,3,2,2211.6,2211.6,756.32,-28.68,60.0,-28.68,1009.32,0,WIN,60286.68
2020-07-09,3,0,3,-86.04,-86.04,0.0,-28.68,0.0,-28.68,-28.68,0,LOSS,60200.64
2020-07-10,5,0,5,-143.4,-143.4,0.0,-28.68,0.0,-28.68,-28.68,0,LOSS,60057.24
2020-07-13,4,1,3,890.28,890.28,976.32,-28.68,25.0,-28.68,976.32,0,WIN,60947.52
2020-07-14,5,1,4,1056.6,1056.6,1171.32,-28.68,20.0,-28.68,1171.32,0,WIN,62004.12
2020-07-15,4,1,3,851.28,851.28,937.32,-28.68,25.0,-28.68,937.32,0,WIN,62855.4
2020-07-16,5,2,3,2037.6,2037.6,1061.82,-28.68,40.0,-28.68,1171.32,0,WIN,64893.0
2020-07-17,4,0,4,-114.72,-114.72,0.0,-28.68,0.0,-28.68,-28.68,0,LOSS,64778.28
2020-07-20,5,0,5,-143.4,-143.4,0.0,-28.68,0.0,-28.68,-28.68,0,LOSS,64634.88
2020-07-21,4,0,4,-114.72,-114.72,0.0,-28.68,0.0,-28.68,-28.68,0,LOSS,64520.16
2020-07-22,4,1,3,671.28,671.28,757.32,-28.68,25.0,-28.68,757.32,0,WIN,65191.44
2020-07-23,4,0,4,-114.72,-114.72,0.0,-28.68,0.0,-28.68,-28.68,0,LOSS,65076.72
2020-07-24,4,1,3,1085.28,1085.28,1171.32,-28.68,25.0,-28.68,1171.32,0,WIN,66162.0
2020-07-27,5,0,5,-143.4,-143.4,0.0,-28.68,0.0,-28.68,-28.68,0,LOSS,66018.6
2020-07-28,4,0,4,-114.72,-114.72,0.0,-28.68,0.0,-28.68,-28.68,0,LOSS,65903.88
2020-07-29,5,2,3,1098.6,1098.6,592.32,-28.68,40.0,-28.68,1171.32,0,WIN,67002.48
2020-07-30,5,0,5,-143.4,-143.4,0.0,-28.68,0.0,-28.68,-28.68,0,LOSS,66859.08
2020-07-31,4,1,3,1085.28,1085.28,1171.32,-28.68,25.0,-28.68,1171.32,0,WIN,67944.36
2020-08-03,4,0,4,-114.72,-114.72,0.0,-28.68,0.0,-28.68,-28.68,0,LOSS,67829.64
2020-08-04,5,1,4,789.6,789.6,904.32,-28.68,20.0,-28.68,904.32,0,WIN,68619.24
2020-08-05,4,0,4,-114.72,-114.72,0.0,-28.68,0.0,-28.68,-28.68,0,LOSS,68504.52
2020-08-06,5,1,4,201.6,201.6,316.32,-28.68,20.0,-28.68,316.32,0,WIN,68706.12
2020-08-07,4,1,3,1085.28,1085.28,1171.32,-28.68,25.0,-28.68,1171.32,0,WIN,69791.4
2020-08-10,4,1,3,1085.28,1085.28,1171.32,-28.68,25.0,-28.68,1171.32,0,WIN,70876.68
2020-08-11,5,1,4,762.6,762.6,877.32,-28.68,20.0,-28.68,877.32,0,WIN,71639.28
2020-08-12,5,0,5,-143.4,-143.4,0.0,-28.68,0.0,-28.68,-28.68,0,LOSS,71495.88
2020-08-13,4,0,4,-114.72,-114.72,0.0,-28.68,0.0,-28.68,-28.68,0,LOSS,71381.16
2020-08-14,4,2,2,887.28,887.28,472.32,-28.68,50.0,-28.68,730.32,0,WIN,72268.44
2020-08-17,4,0,4,-114.72,-114.72,0.0,-28.68,0.0,-28.68,-28.68,0,LOSS,72153.72
2020-08-18,4,1,3,791.28,791.28,877.32,-28.68,25.0,-28.68,877.32,0,WIN,72945.0
2020-08-19,5,0,5,-143.4,-143.4,0.0,-28.68,0.0,-28.68,-28.68,0,LOSS,72801.6
2020-08-20,4,0,4,-114.72,-114.72,0.0,-28.68,0.0,-28.68,-28.68,0,LOSS,72686.88
2020-08-21,5,0,5,-143.4,-143.4,0.0,-28.68,0.0,-28.68,-28.68,0,LOSS,72543.48
2020-08-24,4,2,2,1397.28,1397.28,727.32,-28.68,50.0,-28.68,754.32,0,WIN,73940.76
2020-08-25,4,1,3,431.28,431.28,517.32,-28.68,25.0,-28.68,517.32,0,WIN,74372.04
2020-08-26,5,0,5,-143.4,-143.4,0.0,-28.68,0.0,-28.68,-28.68,0,LOSS,74228.64
2020-08-27,4,1,3,803.28,803.28,889.32,-28.68,25.0,-28.68,889.32,0,WIN,75031.92
2020-08-28,3,0,3,-86.04,-86.04,0.0,-28.68,0.0,-28.68,-28.68,0,LOSS,74945.88
2020-08-31,5,1,4,1056.6,1056.6,1171.32,-28.68,20.0,-28.68,1171.32,0,WIN,76002.48
2020-09-01,5,0,5,-143.4,-143.4,0.0,-28.68,0.0,-28.68,-28.68,0,LOSS,75859.08
2020-09-02,4,1,3,1085.28,1085.28,1171.32,-28.68,25.0,-28.68,1171.32,0,WIN,76944.36
2020-09-03,4,0,4,-114.72,-114.72,0.0,-28.68,0.0,-28.68,-28.68,0,LOSS,76829.64
2020-09-04,6,2,4,2227.92,2227.92,1171.32,-28.68,33.33,-28.68,1171.32,0,WIN,79057.56
2020-09-07,2,0,2,-57.36,-57.36,0.0,-28.68,0.0,-28.68,-28.68,0,LOSS,79000.2
2020-09-08,4,0,4,-114.72,-114.72,0.0,-28.68,0.0,-28.68,-28.68,0,LOSS,78885.48
2020-09-09,5,1,4,201.6,201.6,316.32,-28.68,20.0,-28.68,316.32,0,WIN,79087.08
2020-09-10,4,0,4,-114.72,-114.72,0.0,-28.68,0.0,-28.68,-28.68,0,LOSS,78972.36
2020-09-11,4,0,4,-114.72,-114.72,0.0,-28.68,0.0,-28.68,-28.68,0,LOSS,78857.64
2020-09-14,4,0,4,-114.72,-114.72,0.0,-28.68,0.0,-28.68,-28.68,0,LOSS,78742.92
2020-09-15,5,1,4,1056.6,1056.6,1171.32,-28.68,20.0,-28.68,1171.32,0,WIN,79799.52
2020-09-16,4,0,4,-114.72,-114.72,0.0,-28.68,0.0,-28.68,-28.68,0,LOSS,79684.8
2020-09-17,5,1,4,1056.6,1056.6,1171.32,-28.68,20.0,-28.68,1171.32,0,WIN,80741.4
2020-09-21,5,0,5,-143.4,-143.4,0.0,-28.68,0.0,-28.68,-28.68,0,LOSS,80598.0
2020-09-22,4,0,4,-114.72,-114.72,0.0,-28.68,0.0,-28.68,-28.68,0,LOSS,80483.28
2020-09-23,4,0,4,-114.72,-114.72,0.0,-28.68,0.0,-28.68,-28.68,0,LOSS,80368.56
2020-09-24,6,3,3,3427.92,3427.92,1171.32,-28.68,50.0,-28.68,1171.32,0,WIN,83796.48
2020-09-25,5,1,4,1056.6,1056.6,1171.32,-28.68,20.0,-28.68,1171.32,0,WIN,84853.08
2020-09-28,5,0,5,-143.4,-143.4,0.0,-28.68,0.0,-28.68,-28.68,0,LOSS,84709.68
2020-09-29,5,0,5,-143.4,-143.4,0.0,-28.68,0.0,-28.68,-28.68,0,LOSS,84566.28
2020-09-30,4,0,4,-114.72,-114.72,0.0,-28.68,0.0,-28.68,-28.68,0,LOSS,84451.56
2020-10-01,5,2,3,1605.6,1605.6,845.82,-28.68,40.0,-28.68,1171.32,0,WIN,86057.16
2020-10-02,5,1,4,1056.6,1056.6,1171.32,-28.68,20.0,-28.68,1171.32,0,WIN,87113.76
2020-10-05,5,0,5,-143.4,-143.4,0.0,-28.68,0.0,-28.68,-28.68,0,LOSS,86970.36
2020-10-06,5,0,5,-143.4,-143.4,0.0,-28.68,0.0,-28.68,-28.68,0,LOSS,86826.96
2020-10-07,5,1,4,1056.6,1056.6,1171.32,-28.68,20.0,-28.68,1171.32,0,WIN,87883.56
2020-10-08,5,0,5,-143.4,-143.4,0.0,-28.68,0.0,-28.68,-28.68,0,LOSS,87740.16
2020-10-09,4,0,4,-114.72,-114.72,0.0,-28.68,0.0,-28.68,-28.68,0,LOSS,87625.44
2020-10-12,5,0,5,-143.4,-143.4,0.0,-28.68,0.0,-28.68,-28.68,0,LOSS,87482.04
2020-10-13,4,0,4,-114.72,-114.72,0.0,-28.68,0.0,-28.68,-28.68,0,LOSS,87367.32
2020-10-14,4,1,3,1085.28,1085.28,1171.32,-28.68,25.0,-28.68,1171.32,0,WIN,88452.6
2020-10-15,4,0,4,-114.72,-114.72,0.0,-28.68,0.0,-28.68,-28.68,0,LOSS,88337.88
2020-10-16,5,1,4,408.6,408.6,523.32,-28.68,20.0,-28.68,523.32,0,WIN,88746.48
2020-10-19,5,1,4,1056.6,1056.6,1171.32,-28.68,20.0,-28.68,1171.32,0,WIN,89803.08
2020-10-20,4,0,4,-114.72,-114.72,0.0,-28.68,0.0,-28.68,-28.68,0,LOSS,89688.36
2020-10-21,5,0,5,-143.4,-143.4,0.0,-28.68,0.0,-28.68,-28.68,0,LOSS,89544.96
2020-10-22,4,0,4,-114.72,-114.72,0.0,-28.68,0.0,-28.68,-28.68,0,LOSS,89430.24
2020-10-23,5,1,4,102.6,102.6,217.32,-28.68,20.0,-28.68,217.32,0,WIN,89532.84
2020-10-26,5,0,5,-143.4,-143.4,0.0,-28.68,0.0,-28.68,-28.68,0,LOSS,89389.44
2020-10-27,4,0,4,-114.72,-114.72,0.0,-28.68,0.0,-28.68,-28.68,0,LOSS,89274.72
2020-10-28,5,1,4,1056.6,1056.6,1171.32,-28.68,20.0,-28.68,1171.32,0,WIN,90331.32
2020-10-29,5,1,4,1056.6,1056.6,1171.32,-28.68,20.0,-28.68,1171.32,0,WIN,91387.92
2020-10-30,5,0,5,-143.4,-143.4,0.0,-28.68,0.0,-28.68,-28.68,0,LOSS,91244.52
2020-11-02,4,0,4,-114.72,-114.72,0.0,-28.68,0.0,-28.68,-28.68,0,LOSS,91129.8
2020-11-03,4,0,4,-114.72,-114.72,0.0,-28.68,0.0,-28.68,-28.68,0,LOSS,91015.08
2020-11-04,5,1,4,354.6,354.6,469.32,-28.68,20.0,-28.68,469.32,0,WIN,91369.68
2020-11-05,4,0,4,-114.72,-114.72,0.0,-28.68,0.0,-28.68,-28.68,0,LOSS,91254.96
2020-11-06,5,0,5,-143.4,-143.4,0.0,-28.68,0.0,-28.68,-28.68,0,LOSS,91111.56
2020-11-09,4,1,3,1085.28,1085.28,1171.32,-28.68,25.0,-28.68,1171.32,0,WIN,92196.84
2020-11-10,4,0,4,-114.72,-114.72,0.0,-28.68,0.0,-28.68,-28.68,0,LOSS,92082.12
2020-11-11,5,0,5,-143.4,-143.4,0.0,-28.68,0.0,-28.68,-28.68,0,LOSS,91938.72
2020-11-12,5,0,5,-143.4,-143.4,0.0,-28.68,0.0,-28.68,-28.68,0,LOSS,91795.32
2020-11-13,4,1,3,584.28,584.28,670.32,-28.68,25.0,-28.68,670.32,0,WIN,92379.6
2020-11-16,5,1,4,312.6,312.6,427.32,-28.68,20.0,-28.68,427.32,0,WIN,92692.2
2020-11-17,5,2,3,648.6,648.6,367.32,-28.68,40.0,-28.68,544.32,0,WIN,93340.8
2020-11-18,4,0,4,-114.72,-114.72,0.0,-28.68,0.0,-28.68,-28.68,0,LOSS,93226.08
2020-11-19,4,0,4,-114.72,-114.72,0.0,-28.68,0.0,-28.68,-28.68,0,LOSS,93111.36
2020-11-20,5,2,3,1197.6,1197.6,641.82,-28.68,40.0,-28.68,1171.32,0,WIN,94308.96
2020-11-23,5,1,4,1056.6,1056.6,1171.32,-28.68,20.0,-28.68,1171.32,0,WIN,95365.56
2020-11-24,5,1,4,1056.6,1056.6,1171.32,-28.68,20.0,-28.68,1171.32,0,WIN,96422.16
2020-11-25,4,0,4,-114.72,-114.72,0.0,-28.68,0.0,-28.68,-28.68,0,LOSS,96307.44
2020-11-26,3,1,2,1113.96,1113.96,1171.32,-28.68,33.33,-28.68,1171.32,0,WIN,97421.4
2020-11-27,3,0,3,-86.04,-86.04,0.0,-28.68,0.0,-28.68,-28.68,0,LOSS,97335.36
2020-11-30,4,0,4,-114.72,-114.72,0.0,-28.68,0.0,-28.68,-28.68,0,LOSS,97220.64
2020-12-01,5,1,4,600.6,600.6,715.32,-28.68,20.0,-28.68,715.32,0,WIN,97821.24
2020-12-02,4,0,4,-114.72,-114.72,0.0,-28.68,0.0,-28.68,-28.68,0,LOSS,97706.52
2020-12-03,4,1,3,155.28,155.28,241.32,-28.68,25.0,-28.68,241.32,0,WIN,97861.8
2020-12-04,5,2,3,657.6,657.6,371.82,-28.68,40.0,-28.68,373.32,0,WIN,98519.4
2020-12-07,4,1,3,119.28,119.28,205.32,-28.68,25.0,-28.68,205.32,0,WIN,98638.68
2020-12-08,4,0,4,-114.72,-114.72,0.0,-28.68,0.0,-28.68,-28.68,0,LOSS,98523.96
2020-12-09,4,0,4,-114.72,-114.72,0.0,-28.68,0.0,-28.68,-28.68,0,LOSS,98409.24
2020-12-10,5,3,2,1917.6,1917.6,658.32,-28.68,60.0,-28.68,1171.32,0,WIN,100326.84
